english_word,native_translation,definition_vi
root,rễ; nguồn gốc; căn nguyên,"Phần của cây thường mọc dưới lòng đất, hút nước và chất dinh dưỡng; cũng là nguồn gốc, lý do cơ bản hoặc bộ phận chính của một thứ gì đó."
buy,mua,"Lấy được thứ gì đó bằng cách trả tiền."
raise,nâng; nuôi; tăng,"Nâng lên một cái gì đó; nuôi dưỡng một đứa trẻ hoặc động vật; tăng số lượng hoặc mức độ."
solve,giải quyết; tìm ra lời giải pháp,tìm ra đáp án hoặc giải pháp cho một vấn đề hoặc câu hỏi.
metal,kim loại,(một) chất cứng, rắn, thường có màu xám, có thể dẫn điện và nhiệt tốt.
whether,liệu; liệu rằng; không biết có... hay không,"Dùng để giới thiệu một mệnh đề chỉ sự lựa chọn hoặc khả năng (thường với 'or not' đi kèm hoặc ngụ ý)."
push,đẩy; ấn,"Dùng lực để chuyển động ai đó hoặc cái gì đó ra xa khỏi mình."
seven,bảy; số bảy,"Số hoặc con số tương ứng với bảy đơn vị."
paragraph,đoạn (văn),khoảng (thời gian),Dưới dạng danh từ, đó là một phần của một văn bản bao gồm một hoặc nhiều câu nói về cùng một chủ đề, bắt đầu bằng một dòng thụt vào hoặc dòng mới. Dưới dạng động từ, đó là việc sắp xếp các văn bản đó. Ngoài ra còn có nghĩa là khoảng thời gian.
third,thứ ba; người thứ ba,"Vị trí hoặc thứ tự sau thứ hai; cũng là phân số 1/3."
shall,sẽ; nên,"Từ trợ động từ để nói về tương lai, lời hứa, ý định hoặc đề nghị; đôi khi cũng dùng để diễn tả lời khuyên hoặc nghĩa vụ."
held,đã tổ chức; đã giữ; đã cầm,"Dạng quá khứ và phân từ hai của động từ 'hold', nghĩa là tổ chức một sự kiện, giữ hoặc cầm một cái gì đó."
hair,tóc,"Sợi hoặc búi sợi mọc trên đầu hoặc bộ phận khác của cơ thể người hoặc động vật."
describe,mô tả,"Nói hoặc viết về bản chất, hình dáng hoặc đặc điểm của ai đó hoặc cái gì đó bằng lời nói."
cook,nấu ăn; đầu bếp,"Chuẩn bị thức ăn bằng cách dùng nhiệt; hoặc là người chuẩn bị thức ăn."
floor,sàn nhà; tầng (của tòa nhà),"Bề mặt phẳng của một căn phòng mà bạn đi trên đó; cũng là một cấp độ hoặc tầng của một tòa nhà."
either,hoặc; một trong hai,"Dùng để liên kết hai khả năng hoặc lựa chọn, thường đi cùng 'or'. Cũng có nghĩa là một hoặc cái kia trong hai cái."
result,kết quả; thành quả,"Điều xảy ra hoặc được tạo ra do một hành động, quá trình hoặc tình huống."
burn,đốt; cháy; bỏng,"Phá hủy hoặc làm tổn thương bằng lửa hoặc nhiệt; cũng có nghĩa là làm nóng lên hoặc phát sáng."
hill,đồi; quả đồi,"Một phần đất nhô cao lên, thường nhỏ hơn núi."
safe,an toàn; két sắt,"Không có nguy hiểm hoặc rủi ro; cũng là một loại hộp chắc chắn dùng để giữ tiền bạc hoặc đồ quý giá."
cat,mèo; con mèo,"Một loài động vật có vú nhỏ, có lông, thường được nuôi làm cảnh hoặc bắt chuột. Có thể kêu meo meo."
century,thế kỷ; một trăm năm,Khoảng thời gian một trăm năm.
consider,xem xét; cân nhắc; coi như,"Nghĩ kỹ về một điều gì đó, thường là trước khi đưa ra quyết định; cũng có nghĩa là nghĩ về một điều gì đó theo một cách cụ thể."
type,kiểu; loại; đánh máy,"Một nhóm người hoặc vật có đặc điểm chung; cũng là hành động gõ chữ trên bàn phím."
law,luật; pháp luật; quy định,"Một hệ thống các quy tắc được tạo ra và thi hành bởi chính phủ hoặc xã hội để điều chỉnh hành vi của con người hoặc tổ chức."
bit,một ít; chút ít; miếng nhỏ,"Một lượng nhỏ của cái gì đó; một phần nhỏ của toàn bộ."
coast,bờ biển; duyên hải,"Phần đất liền tiếp giáp với biển hoặc đại dương."
copy,bản sao; chép; sao chép; bản sao; bản in,"Một bản sao của tài liệu, sách hoặc hình ảnh gốc; hoặc hành động tạo ra một bản sao."
phrase,cụm từ,"Một nhóm từ có ý nghĩa nhưng không tạo thành câu hoàn chỉnh (thường thiếu chủ ngữ hoặc vị ngữ)."
silent,im lặng; yên lặng,"Không tạo ra tiếng động; không nói hoặc phát ra âm thanh."
tall,cao,"Có chiều cao lớn hơn mức trung bình."
sand,cát,"Hạt nhỏ vụn của đá hoặc khoáng chất, thường được tìm thấy ở bãi biển, sa mạc hoặc đáy sông."
soil,đất,"Lớp vật chất mềm ở bề mặt Trái Đất, nơi cây cối mọc."
roll,cuộn; lăn; bánh cuộn,"Hành động di chuyển bằng cách quay tròn hoặc lăn; hoặc một vật có hình dạng cuộn hoặc tròn."
temperature,nhiệt độ,"Mức độ nóng hoặc lạnh của một vật hoặc một nơi."
finger,ngón tay; ngón,"Một trong năm bộ phận thon dài ở cuối mỗi bàn tay, dùng để cầm nắm hoặc chỉ chỏ."
industry,ngành công nghiệp; công nghiệp,"Hoạt động sản xuất hàng hóa hoặc dịch vụ trong một khu vực cụ thể của nền kinh tế."
value,giá trị; định giá,"Sự quan trọng, hữu ích hoặc mức giá của một thứ gì đó; hoặc việc đánh giá giá trị của một thứ."
fight,chiến đấu; đánh nhau; cuộc chiến,"Dùng sức mạnh hoặc vũ khí chống lại người khác hoặc thứ khác; một cuộc đối đầu dùng sức mạnh hoặc vũ khí."
lie,nói dối; nằm,"Nói điều không đúng sự thật; hoặc ở tư thế ngả người xuống."
beat,đánh; đập; nhịp điệu,"Đánh hoặc đập mạnh vào một vật gì đó nhiều lần; dùng để chỉ việc đánh bại ai đó trong một cuộc thi hoặc trò chơi; cũng là âm thanh lặp lại đều đặn trong âm nhạc."
excite,kích thích; làm phấn khích,"Làm cho ai đó cảm thấy rất vui vẻ, hứng thú hoặc hồi hộp về điều gì đó."
natural,tự nhiên; thuộc về tự nhiên,"Thuộc về hoặc tồn tại do tự nhiên chứ không phải do con người tạo ra."
view,quan điểm; cảnh; xem,"Cách một người nghĩ về cái gì đó; cái có thể nhìn thấy từ một nơi cụ thể (như cảnh vật); hành động nhìn hoặc xem thứ gì đó."
sense,giác quan; ý thức; cảm giác; nghĩa,"Một trong năm khả năng cảm nhận (nhìn, nghe, ngửi, nếm, chạm); ý thức về điều gì đó; một cảm xúc hoặc nhận thức; nghĩa của một từ hoặc cụm từ."
ear,tai,Bộ phận trên đầu người hoặc động vật dùng để nghe.
else,khác; nữa,"Ngoài ra; thêm vào đó; một người hoặc vật nào đó khác."
quite,khá; hoàn toàn,"Ở một mức độ đáng kể nhưng không hoàn toàn; cũng có nghĩa là hoàn toàn hoặc chắc chắn (trong một số cách dùng)."
broke,hết tiền; cháy túi; phá sản,"Nghèo, không còn tiền; đã bị phá sản, không còn khả năng thanh toán nợ."
case,trường hợp; vụ án; hộp; vỏ,"Một tình huống hoặc hoàn cảnh cụ thể; một vụ kiện ở tòa án; một vật để đựng hoặc bảo vệ thứ gì đó."
middle,ở giữa; giữa; trung,"Chỉ vị trí ở điểm hoặc vùng cách đều các cạnh, điểm cuối hoặc sự vật khác; cũng có thể dùng để chỉ điều gì đó ở mức trung bình."
kill,giết; làm chết,"Làm cho ai đó hoặc con vật nào đó chết."
son,con trai,Người nam là con của một người hoặc cặp vợ chồng.
lake,hồ; hồ nước,"Một vùng nước lớn được bao quanh bởi đất liền."
moment,khoảnh khắc; chốc lát; lúc,"Một khoảng thời gian rất ngắn; thời điểm cụ thể."
scale,cái cân; vảy cá; tỷ lệ,"1. Dụng cụ đo trọng lượng. 2. Lớp mỏng phủ ngoài cơ thể cá hoặc bò sát. 3. Tỷ lệ giữa kích thước bản đồ, mô hình với kích thước thật."
loud,lớn; ầm ĩ; to,"Có âm thanh lớn, dễ nghe; tạo ra tiếng ồn."
spring,mùa xuân; cái lò xo; nguồn; suối; nhảy; bật dậy,"Mùa đầu tiên trong năm, sau mùa đông; thiết bị cuộn lại có thể bật ra; nguồn nước tự nhiên chảy ra từ mặt đất; hành động nhảy hoặc bật lên một cách nhanh chóng."
observe,quan sát; theo dõi; tuân thủ,"Nhìn hoặc theo dõi một cái gì đó hoặc ai đó một cách cẩn thận; cũng có nghĩa là tuân theo một quy tắc, luật lệ hoặc phong tục."
child,đứa trẻ; trẻ con,"Người còn non nớt, thường là người rất trẻ chưa đến tuổi trưởng thành."
straight,thẳng; thẳng thắn,"Theo một hướng nhất định mà không cong, không gãy, không lệch; hoặc nói/hành động một cách chân thật, không che đậy."
consonant,phụ âm,"Một âm thanh giọng nói tạo ra bằng cách chặn luồng không khí đi qua miệng hoặc mũi (không phải là nguyên âm)."
nation,quốc gia; dân tộc,"Một nhóm người sống trong cùng một khu vực địa lý dưới một chính phủ; hoặc một nhóm người có cùng lịch sử, văn hóa, ngôn ngữ."
dictionary,từ điển; quyển từ điển này/đó,"Sách hoặc nguồn tham khảo liệt kê các từ của một ngôn ngữ theo thứ tự bảng chữ cái, giải thích nghĩa của chúng."
milk,sữa,"Chất lỏng màu trắng được tiết ra từ tuyến vú của động vật có vú cái, dùng làm thức ăn cho con non; cũng là đồ uống của con người."
speed,tốc độ; nhanh chóng,"Tốc độ di chuyển hoặc hành động; mức độ nhanh hay chậm."
method,phương pháp; cách thức,"Một cách thức cụ thể, có hệ thống hoặc có trật tự để thực hiện điều gì đó, đặc biệt là theo một trình tự nhất định."
organ,cơ quan; đàn ống; bộ phận,"Một phần của sinh vật có chức năng cụ thể (ví dụ: tim, gan); nhạc cụ có các ống phát ra âm thanh."
pay,trả; thanh toán; tiền lương,"Đưa tiền cho ai đó hoặc một tổ chức để đổi lấy hàng hóa, dịch vụ hoặc giải quyết nợ; còn có nghĩa là số tiền bạn nhận được khi làm việc."
age,tuổi; độ tuổi; thời đại,"Khoảng thời gian tồn tại của một người hoặc vật; hoặc một giai đoạn cụ thể trong lịch sử hoặc đời sống."
section,mục; phần; đoạn,"Một phần riêng biệt hoặc một bộ phận của một cái gì đó lớn hơn (như sách, tòa nhà, tổ chức, v.v.)."
dress,váy; đầm; mặc quần áo,"Một loại quần áo một mảnh phổ biến cho phụ nữ và trẻ em gái, bao gồm phần thân và phần váy. Hoặc hành động mặc quần áo."
cloud,đám mây; mây,"Một khối hơi nước ngưng tụ lơ lửng trong khí quyển, thường có thể nhìn thấy dưới dạng màu trắng hoặc xám."
surprise,làm ngạc nhiên; sự ngạc nhiên; bất ngờ; làm bất ngờ,"Gây cho ai đó cảm giác ngạc nhiên hoặc sử dụng một sự kiện, món quà, hoặc thông tin không mong đợi."
quiet,yên tĩnh; im lặng,"Không ồn ào; ít tiếng động hoặc không có tiếng động."
stone,đá; hòn đá,"Vật liệu cứng, rắn chắc tự nhiên tạo thành một phần của vỏ Trái đất; một mẩu nhỏ hoặc một khối đá."
tiny,tí hon; nhỏ bé,"Rất nhỏ, cực kỳ bé về kích thước."
climb,leo; trèo; sự leo trèo,"Đi lên hoặc di chuyển lên một cái gì đó bằng cách dùng tay và chân, đặc biệt là đi lên những nơi khó đi như núi hoặc cây; cũng là hành động đó."
cool,mát,lạnh; tuyệt vời; điềm tĩnh,"Có nhiệt độ hơi lạnh hoặc dễ chịu; cũng có nghĩa là rất tốt, thú vị hoặc hấp dẫn; hoặc chỉ sự bình tĩnh, không bối rối."
design,thiết kế; kiểu dáng,Hoạt động lên kế hoạch, phác thảo cách làm hoặc hình thức của cái gì đó trước khi làm ra; cũng là kết quả của hoạt động đó (kiểu dáng, mẫu).
poor,nghèo; tội nghiệp; kém,"Có ít hoặc không có tiền hoặc của cải; cũng có nghĩa là đáng thương hoặc không đủ tốt."
lot,nhiều; rất nhiều; lô; mảng,"Một số lượng lớn hoặc nhiều loại; một miếng đất hoặc khu vực được phân chia."
experiment,thí nghiệm; thử nghiệm,"Một quy trình khoa học được thực hiện để kiểm tra giả thuyết hoặc chứng minh một sự thật đã biết."
bottom,đáy; phần dưới,"Phần thấp nhất hoặc xa nhất của một cái gì đó; mặt dưới."
key,chìa khóa; khóa; phím,"Một vật dùng để mở hoặc đóng khóa; trên bàn phím máy tính, là nút bạn nhấn để nhập chữ, số hoặc thực hiện một lệnh."
iron,sắt,"Kim loại màu trắng bạc, cứng, thường được dùng để chế tạo công cụ, máy móc hoặc là nguyên tố cần thiết cho cơ thể."
single,đơn; độc thân; một,"Chỉ số lượng là một hoặc chỉ người không có quan hệ hôn nhân/tình cảm chính thức."
stick,gậy; que; dính; gắn bó,"Một đoạn gỗ hoặc vật liệu dài, mỏng; hành động dính hoặc gắn kết với nhau hoặc với một bề mặt; bám chặt vào."
flat,bằng phẳng; căn hộ; phẳng lì,"Có bề mặt đều, không có chỗ lồi hay lõm; hoặc một căn hộ ở trong một tòa nhà lớn hơn."
twenty,hai mươi,Số bằng 2 lần 10, thể hiện qua chữ số 20.
skin,da,"Lớp ngoài cùng bảo vệ cơ thể người hoặc động vật."
smile,nụ cười; mỉm cười,"Biểu hiện trên khuôn mặt khi các mép miệng cong lên, thường thể hiện niềm vui, sự hài lòng hoặc thiện chí."
crease,nếp gấp; làm nhăn; làm gấp nếp,"Một vết nhăn hoặc một dòng được tạo ra khi một cái gì đó được gấp lại hoặc bị nén lại; hoặc hành động làm cho một cái gì đó có nếp gấp."
hole,lỗ; cái lỗ; hố nhỏ,"Khoảng trống hoặc vết thủng xuyên qua một vật gì đó; một vết trũng nhỏ trên mặt đất."
trade,thương mại; nghề; giao thương,Việc mua và bán hàng hóa và dịch vụ; cũng là một ngành nghề hoặc kỹ năng đặc biệt.
melody,giai điệu,"Một chuỗi các nốt nhạc tạo thành một âm thanh dễ chịu hoặc dễ nhớ."
trip,chuyến đi; ngã; vấp ngã,"Một cuộc du lịch hoặc hành trình; cũng có nghĩa là mất thăng bằng và suýt ngã hoặc ngã hẳn."
office,văn phòng; trụ sở,"Nơi làm việc của nhân viên ở một công ty hoặc tổ chức."
receive,nhận; tiếp nhận; lĩnh,"Lấy hoặc được trao cho một cái gì đó; đối mặt hoặc trải qua một điều gì đó."
row,hàng; chèo,"Một dãy người hoặc vật xếp cạnh nhau theo chiều ngang; cũng có nghĩa là dùng mái chèo đẩy thuyền di chuyển."
mouth,miệng,"Bộ phận trên khuôn mặt người hoặc động vật, dùng để ăn, nói hoặc phát ra âm thanh."
exact,chính xác; đúng,"Khác một chút cũng không được; hoàn toàn đúng hoặc chính xác."
symbol,biểu tượng; ký hiệu,"Một vật thể, hình ảnh hoặc dấu hiệu đại diện cho một ý tưởng, khái niệm hoặc sự vật khác."
die,chết; tử vong; qua đời,"Ngừng sống; kết thúc sự tồn tại của sự sống."
least,ít nhất,"Chỉ mức độ nhỏ nhất, số lượng thấp nhất hoặc tầm quan trọng thấp nhất."
trouble,rắc rối; vấn đề; gây rắc rối,"Một tình huống khó khăn, vấn đề hoặc sự rắc rối; cũng có nghĩa là làm cho ai đó bận tâm hoặc gặp khó khăn."
shout,hét; la; gào,"Nói hoặc kêu to bằng giọng cao, thường là do tức giận, sợ hãi, hoặc phấn khích."
except,trừ; ngoại trừ; trừ ra,"Không tính đến; không bao gồm."
wrote,đã viết,"Hình thức quá khứ đơn giản của động từ 'to write' (viết)."
seed,hạt giống; hạt,"Phần nhỏ của cây có vỏ và có thể phát triển thành cây mới khi được trồng."
tone,tông; âm điệu; giọng,"Độ cao thấp hoặc chất lượng của âm thanh; cách thức nói hoặc viết biểu lộ tâm trạng hoặc thái độ."
join,tham gia; nối vào; nhập vào,"Gia nhập một hội, nhóm hoặc hoạt động; hoặc nối hai hay nhiều vật lại với nhau."
suggest,đề nghị; gợi ý; đề xuất,"Nói hoặc cho rằng điều gì đó để người khác cân nhắc hoặc thực hiện."
clean,sạch; lau chùi; làm sạch,"Không có bụi bẩn, vết bẩn, hoặc chất bẩn nào khác; cũng có nghĩa là hành động loại bỏ chất bẩn."
break,phá vỡ; làm vỡ; sự nghỉ ngơi,"Làm cho vật gì đó bị chia thành nhiều mảnh hoặc không còn nguyên vẹn; hoặc một khoảng thời gian nghỉ ngơi ngắn giữa các hoạt động."
lady,quý bà; phu nhân; cô gái,"Một cách trang trọng để gọi một phụ nữ (đặc biệt là người lớn tuổi hoặc có địa vị xã hội cao), hoặc đôi khi dùng để chỉ một cô gái trẻ."
yard,sân; thước Anh,Khoảng trống ngoài trời cạnh nhà; đơn vị đo chiều dài bằng 3 feet hoặc 0.9144 mét.
rise,lên; tăng; mọc; sự tăng lên,"Di chuyển lên cao hơn; tăng về số lượng, giá trị hoặc mức độ; xuất hiện (như mặt trời mọc); cũng là động từ hoặc danh từ chỉ hành động hoặc sự tăng lên."
bad,tệ; xấu; không tốt,"Không tốt; chất lượng kém; có hại hoặc không dễ chịu; không giỏi việc gì đó."
blow,thổi; cú đánh,"Đẩy không khí ra khỏi miệng; cũng có nghĩa là một cú đánh mạnh bằng tay hoặc vật gì đó."
oil,dầu; dầu mỏ,"Chất lỏng sền sệt, nhờn, không hòa tan trong nước, thường có thể cháy được, dùng làm nhiên liệu, chất bôi trơn hoặc trong nấu ăn."
blood,máu,"Chất lỏng màu đỏ chảy trong cơ thể con người và động vật, đưa oxy và chất dinh dưỡng đi khắp nơi."
touch,chạm; sờ mó; sự chạm,"Tiếp xúc với cái gì đó bằng tay hoặc một phần cơ thể khác."
grew,đã lớn lên; đã mọc lên,"Là dạng quá khứ đơn của động từ 'grow', có nghĩa là trở nên lớn hơn, cao hơn hoặc phát triển."
cent,xu; đồng xu,"Đơn vị tiền tệ nhỏ, thường là 1/100 của đơn vị tiền tệ cơ bản như đô la."
mix,trộn; pha trộn,"Kết hợp hai hoặc nhiều thứ lại với nhau thành một thể thống nhất."
team,đội; nhóm,"Một nhóm người cùng làm việc hoặc chơi cùng nhau để đạt được một mục tiêu chung."
wire,dây; dây điện; bưu kiện; điện tín,"Một sợi kim loại mỏng; một vật liệu được dùng để mang dòng điện; cũng chỉ bưu kiện hoặc tin nhắn gửi qua điện tín."
cost,giá; chi phí; trị giá,"Số tiền cần thiết để mua, thuê, hoặc đạt được thứ gì đó; giá trị hoặc nỗ lực cần bỏ ra."
lost,mất; lạc; thua,"Không tìm thấy; không thể định vị; không còn có thể nhìn thấy; cũng có thể là bị đánh bại trong một cuộc thi."
brown,nâu,"Có màu giống như màu của đất hoặc gỗ."
wear,mặc; đeo; đội; mang,"Đeo hoặc mặc quần áo, phụ kiện, hoặc vật gì đó trên người (ví dụ: mặc áo, đeo kính, đội mũ, mang giày)."
garden,vườn; khu vườn,"Một khu đất, thường ở gần nhà, được dùng để trồng cây, hoa, rau hoặc trái cây."
equal,bằng; ngang nhau; bình đẳng,"Có cùng kích thước, số lượng, giá trị, hoặc vị trí như cái khác; không có sự khác biệt về địa vị, quyền lợi."
sent,đã gửi; được đưa đi,"Quá khứ phân từ của động từ 'send', nghĩa là làm cho một thứ gì đó hoặc ai đó đi từ nơi này sang nơi khác, thường là qua đường bưu điện hoặc mạng điện tử."
choose,chọn; lựa chọn,"Quyết định chọn một người hoặc một vật từ một nhóm hoặc nhiều lựa chọn."
fell,ngã xuống; rơi xuống; hạ gục,"Quá khứ của 'fall', nghĩa là di chuyển xuống dưới do trọng lực, hoặc bị đánh bại, hạ gục ai đó."
fit,phù hợp; vừa vặn; vừa,"Có kích thước, hình dạng, hoặc khả năng phù hợp với ai đó hoặc vật gì đó; vừa với cơ thể."
flow,dòng chảy; chảy,"Sự chuyển động liên tục và đều đặn của chất lỏng, khí hoặc năng lượng; hoặc hành động di chuyển một cách trôi chảy."
fair,công bằng; hội chợ; khá; đẹp,"Công bằng, đúng đắn, không thiên vị; cũng có nghĩa là một sự kiện công cộng nơi mọi người trưng bày và bán hàng hóa; hoặc chỉ mức độ vừa phải, không xuất sắc lắm; hoặc chỉ màu da sáng, tóc vàng."
bank,ngân hàng; bờ sông,"Một tổ chức tài chính nơi mọi người gửi và rút tiền; hoặc là dải đất dọc theo sông, hồ."
collect,sưu tầm; thu thập; gom lại,"Thu gom hoặc tập hợp những thứ từ nhiều nơi khác nhau."
save,cứu; tiết kiệm; lưu,"Giúp ai đó hoặc cái gì đó thoát khỏi nguy hiểm hoặc khó khăn; giữ lại tiền hoặc những thứ khác thay vì dùng đi; giữ lại dữ liệu trên máy tính."
control,kiểm soát; sự kiểm soát; điều khiển,"Có quyền lực hoặc ảnh hưởng để chỉ đạo hoặc hạn chế một vật, người hoặc tình huống nào đó."
decimal,số thập phân,"Hệ thống số học sử dụng cơ số 10, trong đó các số được biểu thị bằng chữ số từ 0 đến 9 và vị trí của mỗi chữ số xác định giá trị của nó (ví dụ: 10,5 là số thập phân)."
gentle,nhẹ nhàng; dịu dàng; hiền lành,"Có tính cách hoặc cách cư xử nhẹ nhàng, điềm đạm và không thô bạo; cũng có nghĩa là không mạnh hay dữ dội."
woman,người phụ nữ; đàn bà,"Một người trưởng thành thuộc giới tính nữ."
captain,thuyền trưởng; cơ trưởng; đội trưởng,"Người chỉ huy một con tàu, một máy bay thương mại hoặc một đội thể thao."
practice,thực hành; luyện tập; sự thực hành,"Hoạt động làm đi làm lại một việc gì đó để trở nên giỏi hơn; việc tập luyện một kỹ năng."
separate,riêng biệt; tách rời; chia ra; tách ra,"Là ở riêng, không dính hoặc không chung với cái khác; hoặc làm cho cái gì đó không dính hoặc không còn chung nữa."
difficult,khó khăn; khó,"Không dễ dàng để làm, hiểu hoặc giải quyết."
doctor,bác sĩ,"Người được đào tạo và cấp phép để thực hành y học, khám và điều trị cho người bị bệnh hoặc bị thương."
please,làm ơn; xin vui lòng,"Từ dùng để yêu cầu một cách lịch sự hoặc để thể hiện sự mong muốn."
protect,bảo vệ; che chở,"Giữ an toàn cho ai đó hoặc cái gì đó khỏi bị tổn hại, nguy hiểm, hoặc thiệt hại."
noon,buổi trưa,"Thời điểm giữa buổi sáng và buổi chiều, khoảng 12 giờ trưa."
whose,của ai,Từ dùng để hỏi hoặc chỉ thuộc tính của người hoặc vật (người hoặc vật mà ai sở hữu cái gì hoặc cái gì của ai).
locate,xác định vị trí; định vị; tìm thấy,"Tìm ra hoặc xác định vị trí của một người hoặc một vật."
ring,nhẫn (từ để đeo tay); chuông (tiếng hoặc vật); vòng; sân đấu; khu vực,"Một vật hình tròn, thường bằng kim loại quý, đeo trên ngón tay; tiếng hoặc vật phát ra âm thanh báo hiệu; một hình tròn hoặc khu vực có hình vòng."
character,nhân vật; tính cách; ký tự,"Một người hoặc con trong truyện, phim ảnh, kịch; tập hợp các đặc điểm làm nên tính cách của một người; một ký hiệu viết hoặc in (chữ cái, số, dấu)."
insect,côn trùng,"Một loài động vật nhỏ, có sáu chân và thường có cánh, thuộc lớp côn trùng."
caught,bị bắt; bắt được,"Thể quá khứ và phân từ hai của động từ 'catch', có nghĩa là tóm được, giữ lại hoặc bị kẹt."
period,giai đoạn; kỳ; dấu chấm câu,"Khoảng thời gian nhất định hoặc một chu kỳ; cũng là dấu câu (.) dùng ở cuối câu trần thuật."
indicate,chỉ ra; biểu thị; cho biết; thể hiện,"Chỉ ra, gợi ý, hoặc đưa ra dấu hiệu về điều gì đó; hiển thị hoặc chứng tỏ sự tồn tại hoặc sự thật của điều gì đó."
radio,đài; radio,"Máy dùng để phát sóng hoặc nghe các chương trình phát thanh; cũng có thể là công ty hoặc trạm phát sóng."
spoke,nan hoa (bánh xe); nói,"Quá khứ của động từ 'speak', có nghĩa là nói hoặc trò chuyện. Cũng là bộ phận các thanh nối giữa vành bánh xe và trục."
atom,nguyên tử,"Đơn vị vật chất cơ bản nhất của một nguyên tố hóa học."
human,con người; loài người,"Liên quan đến hoặc thuộc về con người."
history,lịch sử; sử,"Nghiên cứu về các sự kiện trong quá khứ, đặc biệt liên quan đến loài người."
effect,ảnh hưởng; kết quả; hiệu quả,"Một thay đổi xảy ra do một điều gì đó; kết quả của một hành động, sự kiện hoặc nguyên nhân khác."
electric,điện; thuộc về điện,"Liên quan đến, sử dụng hoặc tạo ra điện."
expect,mong đợi; kỳ vọng; hy vọng,"Nghĩ rằng điều gì đó sẽ xảy ra hoặc ai đó sẽ đến; mong chờ."
crop,cây trồng; vụ mùa; cắt xén,"Một loại cây được trồng trên diện tích lớn, đặc biệt là để thu hoạch thực phẩm; số lượng cây trồng được thu hoạch tại một thời điểm; cắt ngắn tóc hoặc vải."
modern,hiện đại,"Thuộc về hoặc liên quan đến thời nay, hoặc sử dụng những phương pháp, ý tưởng mới."
element,yếu tố; nguyên tố,"Một bộ phận thiết yếu hoặc cơ bản của một thứ gì đó; trong hóa học/vật lý, là một chất chỉ bao gồm các nguyên tử có cùng số proton trong hạt nhân."
hit,đánh; đấm; va vào,"Dùng lực tác động mạnh vào cái gì đó hoặc ai đó; cũng có nghĩa là chạm vào cái gì đó."
student,học sinh; sinh viên,"Người đang học ở trường hoặc đại học."
corner,góc; góc đường; góc nhà,"Một nơi mà hai đường hoặc hai mặt phẳng gặp nhau hoặc giao nhau, tạo thành một góc nhọn hoặc tù; cũng là phần của một con đường hoặc căn phòng nơi tường gặp nhau."
party,bữa tiệc; đảng (chính trị); nhóm người,"Một buổi họp mặt xã hội để vui chơi hoặc kỷ niệm điều gì đó; cũng là một tổ chức chính trị hoặc một nhóm người cùng làm gì đó."
supply,cung cấp; nguồn cung,"Hành động cung cấp cái gì đó hoặc lượng sẵn có của một thứ gì đó cần thiết."
bone,xương,"Phần cứng, màu trắng của cơ thể người hoặc động vật, tạo thành bộ xương."
rail,đường ray; đường sắt; lan can; thanh chắn,"Một thanh kim loại hoặc gỗ dài tạo thành một phần của đường ray xe lửa; hệ thống đường ray xe lửa; một thanh ngang dùng làm tay vịn hoặc hàng rào."
imagine,tưởng tượng; hình dung,"Tạo ra một bức tranh hoặc ý tưởng trong tâm trí; hình thành một ý niệm về cái gì đó không có thật hoặc chưa xảy ra."
provide,cung cấp; cấp cho,"Đưa cho ai đó thứ họ cần hoặc mong muốn."
agree,đồng ý; đồng tình,"Có cùng ý kiến hoặc quan điểm với người khác; chấp nhận một ý tưởng hoặc đề xuất."
thus,do đó; vì vậy; như vậy,"Chỉ kết quả hoặc hậu quả; theo cách đã nói hoặc theo cách này."
capital,thủ đô; vốn; chữ in hoa; tuyệt vời,"Thành phố nơi chính phủ một quốc gia đặt trụ sở; số tiền dùng để kinh doanh; chữ cái viết bằng kiểu chữ lớn (ví dụ: A, B, C); rất tốt hoặc xuất sắc."
won't,sẽ không; sẽ chẳng,"Dạng viết tắt của 'will not'. Dùng để nói về việc sẽ không xảy ra hoặc không làm gì trong tương lai."
chair,cái ghế,"Món đồ nội thất có lưng tựa, thường có bốn chân, để ngồi."
danger,nguy hiểm; hiểm nghèo,"Trạng thái hoặc tình huống có thể gây ra tổn thương, bị thương hoặc mất mát."
fruit,quả; trái cây,"Phần mọng nước, ngọt hoặc chua của một số loại cây, thường chứa hạt và có thể ăn được."
rich,giàu; phong phú,"Có nhiều tiền hoặc tài sản; cũng có nghĩa là dồi dào, sung túc."
thick,dày; đặc; dầy,"Có chiều rộng hoặc chiều sâu lớn; không loãng, đậm đặc; không thông minh (tiếng lóng)."
soldier,lính; người lính; quân nhân,"Người phục vụ trong quân đội, đặc biệt là người chiến đấu trong chiến tranh."
process,quá trình; xử lý; gia công,"Một chuỗi các bước hoặc hành động được thực hiện theo thứ tự nhất định để đạt được một kết quả; cũng có nghĩa là thực hiện một tập hợp các thao tác trên dữ liệu hoặc vật liệu."
operate,vận hành; hoạt động; điều hành,"Thực hiện một chức năng hoặc hoạt động; kiểm soát cách thức một hệ thống hoặc tổ chức hoạt động; thực hiện phẫu thuật."
guess,đoán; phỏng đoán,"Thử đưa ra câu trả lời hoặc ước tính khi bạn không chắc chắn về sự thật."
necessary,cần thiết; thiết yếu,"Là cái gì đó cần phải có hoặc cần phải làm; không thể thiếu."
sharp,sắc; bén; nhọn,"Có cạnh hoặc đầu mỏng dễ cắt hoặc đâm xuyên; cũng có nghĩa là rõ ràng, đột ngột hoặc thông minh."
